CensusID,CensusName,MedianIncomeByPlaceofBirth,MedianIncome,TotalPopulation,AvgPopulation,Population5M,Population45M,Population4M,Population35M,Population3M
1400000US36047113000,"Census Tract 1130, Kings County, New York",26524.0000,31615.0000,4000.0000,4194,2460953.0000,2067315.0000,1722738.0000,1426967.0000,1118128.0000
1400000US36047116000,"Census Tract 1160, Kings County, New York",18538.0000,27449.0000,2126.0000,2031,2554982.0000,2083397.0000,1704675.0000,1350296.0000,1048964.0000
1400000US36047116400,"Census Tract 1164, Kings County, New York",27925.0000,51852.0000,3394.0000,3013,2481385.0000,2030634.0000,1635849.0000,1270300.0000,1005134.0000
1400000US36047118400,"Census Tract 1184, Kings County, New York",21133.0000,55070.0000,5361.0000,5465,2581001.0000,2190116.0000,1674968.0000,1318784.0000,975171.0000
1400000US36047120000,"Census Tract 1200, Kings County, New York",23676.0000,32880.0000,2576.0000,2330,2434694.0000,1880361.0000,1549858.0000,1218854.0000,890236.0000
1400000US36047090000,"Census Tract 900, Kings County, New York",16469.0000,22978.0000,4830.0000,5283,2796694.0000,2345709.0000,2011751.0000,1726601.0000,1412625.0000
1400000US36047150200,"Census Tract 1502, Kings County, New York",43295.0000,112656.0000,2876.0000,2848,2763838.0000,2461979.0000,2072367.0000,1711737.0000,1325281.0000
1400000US36121970500,"Census Tract 9705, Wyoming County, New York",32095.0000,54821.0000,4938.0000,4966,25292.0000,25292.0000,17786.0000,14763.0000,11916.0000
1400000US36123150200,"Census Tract 1502, Yates County, New York",23767.0000,43684.0000,5434.0000,5290,25106.0000,25106.0000,19873.0000,19873.0000,19873.0000
1400000US36123150300,"Census Tract 1503, Yates County, New York",28647.0000,52285.0000,5292.0000,5233,14238.0000,14238.0000,5233.0000,5233.0000,5233.0000
1400000US36123150500,"Census Tract 1505, Yates County, New York",23849.0000,47468.0000,4466.0000,4489,19873.0000,19873.0000,19873.0000,19873.0000,19873.0000
1400000US36081044302,"Census Tract 443.02, Queens County, New York",24257.0000,54286.0000,4491.0000,4902,2366283.0000,1986508.0000,1591708.0000,1293726.0000,1017686.0000
1400000US36081044602,"Census Tract 446.02, Queens County, New York",16953.0000,40467.0000,4706.0000,4843,1885803.0000,1618312.0000,1356490.0000,1074393.0000,839028.0000
1400000US36081045000,"Census Tract 450, Queens County, New York",27724.0000,80000.0000,2271.0000,2183,1997600.0000,1720087.0000,1436350.0000,1150396.0000,890951.0000
1400000US36081045500,"Census Tract 455, Queens County, New York",25100.0000,48625.0000,15051.0000,14205,2415594.0000,2026770.0000,1666866.0000,1332395.0000,1063317.0000
1400000US36081046000,"Census Tract 460, Queens County, New York",20723.0000,35391.0000,6197.0000,5920,1791972.0000,1596647.0000,1310631.0000,1038346.0000,802428.0000
